Blender 4.5.3 LTS (hash 67807e1800cc built 2025-09-09 01:38:15)
Fra:1 Mem:248.10M (Peak 248.37M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Plane
Fra:1 Mem:248.10M (Peak 248.37M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Piano string.002
Fra:1 Mem:248.10M (Peak 248.37M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Piano string.003
Fra:1 Mem:248.12M (Peak 248.37M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Piano string.004
Fra:1 Mem:248.13M (Peak 248.37M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Piano string.005
Fra:1 Mem:248.16M (Peak 248.37M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Piano string.006
Fra:1 Mem:250.21M (Peak 250.21M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | piano_label
Fra:1 Mem:250.25M (Peak 250.25M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 01_treadmill_Hand rail
Fra:1 Mem:250.26M (Peak 250.26M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 01_treadmill_Hand rail.001
Fra:1 Mem:250.27M (Peak 250.27M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 01_treadmill_Bottle cup
Fra:1 Mem:250.37M (Peak 250.37M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 01_treadmill_Bottle cup.001
Fra:1 Mem:250.47M (Peak 250.47M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | treadmill_label
Fra:1 Mem:250.73M (Peak 250.73M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Piano string.007
Fra:1 Mem:250.64M (Peak 250.73M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Piano string.009
Fra:1 Mem:250.64M (Peak 250.73M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Piano string.012
Fra:1 Mem:250.66M (Peak 250.73M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Piano string.013
Fra:1 Mem:250.81M (Peak 250.81M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Piano string.014
Fra:1 Mem:250.80M (Peak 250.81M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Piano string.015
Fra:1 Mem:250.81M (Peak 250.81M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Piano string.016
Fra:1 Mem:250.84M (Peak 250.83M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Piano string.017
Fra:1 Mem:250.88M (Peak 250.88M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Piano string.018
Fra:1 Mem:250.89M (Peak 250.89M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Piano string.019
Fra:1 Mem:250.87M (Peak 250.89M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Piano string.022
