Blender 4.5.3 LTS (hash 67807e1800cc built 2025-09-09 01:38:15)
Fra:1 Mem:78.17M (Peak 79.45M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Preview_floor
Fra:1 Mem:78.17M (Peak 79.45M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__Timber_back
Fra:1 Mem:78.17M (Peak 79.45M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__Vertical_partition_0
Fra:1 Mem:78.17M (Peak 79.45M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__Vertical_partition_3
Fra:1 Mem:79.18M (Peak 79.45M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__Vertical_partition_4
Fra:1 Mem:80.19M (Peak 80.19M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__Bronze_loop
Fra:1 Mem:80.27M (Peak 80.27M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__Bronze_loop.001
Fra:1 Mem:80.33M (Peak 80.33M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__Bronze_loop.002
Fra:1 Mem:80.48M (Peak 80.48M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Garment_rail
Fra:1 Mem:80.55M (Peak 80.55M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Individual_hanger
Fra:1 Mem:80.59M (Peak 80.59M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Garment_lapel
Fra:1 Mem:80.57M (Peak 80.59M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__Continuous_shelf
Fra:1 Mem:80.59M (Peak 80.59M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__Varied_books
Fra:1 Mem:80.64M (Peak 80.64M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__Ceramic_vase
Fra:1 Mem:80.64M (Peak 80.64M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__Shelf
Fra:1 Mem:80.76M (Peak 80.76M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__LED_diffuser.001
Fra:1 Mem:80.74M (Peak 80.76M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__Varied_books.001
Fra:1 Mem:80.84M (Peak 80.84M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__LED_diffuser.002
Fra:1 Mem:80.87M (Peak 80.87M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__Varied_books.002
Fra:1 Mem:80.87M (Peak 80.87M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__Shelf.002
Fra:1 Mem:80.93M (Peak 80.93M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__LED_diffuser.003
Fra:1 Mem:80.97M (Peak 80.97M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__Varied_books.003
Fra:1 Mem:80.97M (Peak 80.97M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__Ceramic_vase.001
Fra:1 Mem:81.04M (Peak 81.04M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__Shelf.003
Fra:1 Mem:81.10M (Peak 81.10M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__Varied_books.004
Fra:1 Mem:81.13M (Peak 81.13M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__LED_diffuser.005
Fra:1 Mem:81.16M (Peak 81.16M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__Varied_books.005
Fra:1 Mem:81.17M (Peak 81.17M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Individual_hanger.002
